pclass	survived
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
Third	Died
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
First	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Second	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
Third	Survived
