Word	AOA	CNC	FAM	IMG	CMEAN	PMEAN
CLOSET	-	599	540	525	415	-
COAT	197	601	610	572	455	-
COCKROACH	-	-	-	-	-	-
COCONUT	-	-	-	-	-	-
COD	-	-	-	-	-	-
COIN	-	581	564	603	503	709
COLANDER	-	-	-	-	-	-
COMB	-	-	-	-	-	-
CORK	-	608	544	631	429	-
CORKSCREW	419	614	445	580	-	-
CORN	-	576	548	601	428	696
COTTAGE	-	593	543	607	482	776
COUCH	-	578	521	536	473	-
COUGAR	-	-	-	-	-	-
COW	-	621	529	632	474	-
COYOTE	-	-	-	-	-	-
CRAB	292	626	433	589	-	-
CRANBERRY	-	596	483	649	393	-
CRANE	350	606	428	562	-	-
CRAYON	-	-	-	-	-	-
CROCODILE	-	583	456	601	387	-
CROSSBOW	-	-	-	-	-	-
CROW	308	590	490	578	375	-
CROWBAR	-	-	-	-	-	-
CROWN	-	586	531	602	463	-
CUCUMBER	-	653	536	623	428	-
CUP	-	539	595	558	433	-
CUPBOARD	-	-	-	-	-	-
CURTAINS	-	-	-	-	-	-
CUSHION	-	-	-	-	-	-
DAGGER	-	576	480	581	440	-
DANDELION	-	558	513	579	422	-
DEER	281	631	509	624	477	-
DESK	-	583	583	574	421	-
DISH	-	-	-	-	-	-
DISHWASHER	-	-	-	-	-	-
DOG	169	610	598	636	553	-
DOLL	161	588	503	565	449	612
DOLPHIN	-	-	-	-	-	-
DONKEY	-	-	-	-	-	-
DOOR	214	606	630	599	487	796
DOVE	-	588	415	616	-	636
DRAIN	303	591	510	540	-	-
DRAPES	-	-	-	-	-	-
DRESS	222	595	588	595	502	568
DRESSER	-	560	526	556	385	-
DRILL	-	516	473	571	370	-
DRUM	-	602	506	599	431	-
DUCK	164	606	529	632	473	-
EAGLE	-	616	465	601	457	-
EEL	-	634	433	552	350	-
EGGPLANT	-	-	-	-	-	-
ELEPHANT	222	628	459	616	440	688
ELEVATOR	-	-	-	-	-	-
ELK	-	-	-	-	-	-
EMERALD	-	613	457	602	428	-
EMU	-	-	-	-	-	-
ENVELOPE	-	579	542	554	348	-
ESCALATOR	-	-	-	-	-	-
FALCON	-	-	-	-	-	-
FAN	-	557	520	582	425	-
FAUCET	-	-	-	-	-	-
FAWN	394	581	433	565	377	-
FENCE	-	597	526	611	431	-
FINCH	-	-	-	-	-	-
FLAMINGO	-	-	-	-	-	-
FLEA	-	625	515	606	393	-
FLUTE	-	587	496	581	436	-
FOOTBALL	233	584	565	597	488	-
FORK	225	592	584	598	412	708
FOX	283	605	501	607	430	740
FREEZER	-	-	-	-	-	-
FRIDGE	-	-	-	-	-	-
FROG	258	619	507	617	466	656
GARAGE	-	-	-	-	-	-
GARLIC	-	636	509	565	430	-
GATE	-	573	540	545	444	-
GIRAFFE	-	-	381	-	-	-
GLOVES	-	-	-	-	-	-
GOAT	-	636	469	585	402	-
GOLDFISH	-	-	-	-	-	-
GOOSE	-	-	-	-	-	-
GOPHER	-	-	-	-	-	-
GORILLA	-	620	554	634	469	-
GOWN	-	586	515	578	487	-
GRAPE	297	611	532	591	403	-
GRAPEFRUIT	-	-	-	-	-	-
GRASSHOPPER	-	660	507	630	455	-
GRATER	-	-	-	-	-	-
GRENADE	-	-	-	-	-	-
GUITAR	-	-	550	-	-	-
GUN	228	612	519	613	505	-
HAMMER	278	605	515	618	435	692
HAMSTER	-	599	467	581	418	-
HARE	281	615	460	577	407	-
HARMONICA	-	-	-	-	-	-
HARP	-	591	430	621	-	600
HARPOON	-	592	423	531	356	-
HARPSICHORD	511	623	301	537	-	-
HATCHET	-	607	467	527	397	-
HAWK	-	623	504	591	467	-
HELICOPTER	-	-	-	-	-	-
HELMET	-	602	528	620	436	-
HOE	-	537	489	525	356	-
HONEYDEW	-	-	-	-	-	-
HOOK	-	525	497	541	345	-
HORNET	-	-	-	-	-	-
HORSE	-	613	560	624	471	867
HOSE	314	596	449	572	-	-
HOUSE	-	608	600	606	506	683
HOUSEFLY	-	-	-	-	-	-
HUT	-	589	486	560	415	-
HYENA	-	-	-	-	-	-
IGUANA	-	-	-	-	-	-
INN	344	592	440	578	-	661
JACKET	-	635	596	611	564	-
JAR	242	595	564	571	426	-
JEANS	-	-	-	-	-	-
JEEP	-	622	564	659	477	-
JET	-	580	583	585	513	-
KETTLE	274	602	551	594	450	744
KEY	-	612	603	618	430	-
KEYBOARD	-	-	-	-	-	-
KITE	-	592	481	624	408	-
KNIFE	-	612	573	633	466	-
LADLE	-	-	-	-	-	-
LAMB	186	633	519	614	445	-
LAMP	283	615	578	575	442	-
LANTERN	-	630	441	575	448	-
LEMON	280	608	518	632	470	772
LEOPARD	-	595	431	635	-	683
LETTUCE	-	579	565	608	423	-
LEVEL	-	422	504	385	403	-
LIME	378	590	447	563	400	712
LIMOUSINE	-	624	505	595	505	-
LION	244	627	511	626	498	-
LOBSTER	-	590	472	630	407	684
MACHETE	-	-	-	-	-	-
MACKEREL	436	636	398	540	-	-
MAGAZINE	353	588	585	588	493	652
MANDARIN	-	-	-	-	-	-
MARBLE	294	611	436	605	-	-
MAT	-	513	490	537	363	-
MEDAL	-	571	494	529	420	-
MENU	433	555	550	613	-	-
MICROSCOPE	-	591	493	617	389	548
MICROWAVE	-	-	-	-	-	-
MINK	-	589	524	604	452	-
MINNOW	397	621	408	554	420	-
MIRROR	258	605	593	627	469	-
MISSILE	-	597	504	602	482	648
MITTENS	-	-	-	-	-	-
MIXER	-	574	518	536	450	-
MOLE	-	590	484	567	372	-
MOOSE	-	616	518	604	420	-
MOTH	-	550	496	577	398	-
MOUSE	242	624	520	615	426	-
MUG	-	576	527	574	477	-
MUSHROOM	-	-	-	-	-	-
MUZZLE	461	585	369	513	-	-
NAPKIN	342	585	495	582	357	-
NECKLACE	-	633	536	606	457	-
NECTARINE	-	-	-	-	-	-
NIGHTGOWN	-	644	506	564	452	-
NIGHTINGALE	419	621	375	551	-	-
NYLONS	-	-	-	-	-	-
OAK	311	588	515	590	423	-
OCTOPUS	-	-	370	-	-	-
OLIVE	458	618	444	578	351	-
ONIONS	-	-	-	-	-	-
ORANGE	203	601	567	626	467	-
ORIOLE	-	-	-	-	-	-
OSTRICH	-	-	358	-	-	-
OTTER	383	631	391	572	-	-
OVEN	236	593	577	599	407	808
OWL	269	614	477	595	397	-
OX	329	633	364	548	-	-
PAJAMAS	-	-	-	-	-	-
PAN	-	586	566	532	451	-
PANTHER	-	-	-	-	-	-
PANTS	-	619	575	630	510	-
PARAKEET	-	-	-	-	-	-
PARKA	-	-	-	-	-	-
PARSLEY	-	-	-	-	-	-
PARTRIDGE	-	-	-	-	-	-
PEACH	292	617	536	613	459	684
PEACOCK	-	-	-	-	-	-
PEAR	-	634	567	590	494	-
PEARL	-	597	508	590	392	-
PEAS	-	-	-	-	-	-
PEG	-	537	462	538	338	-
PELICAN	-	-	-	-	-	-
PEN	-	571	554	576	425	-
PENCIL	225	617	598	607	449	648
PENGUIN	-	-	360	-	-	-
PEPPER	269	591	554	587	378	652
PERCH	414	576	396	462	-	-
PHEASANT	-	-	-	-	-	-
PIANO	253	615	545	630	487	640
PICKLE	-	606	562	641	416	-
PIE	-	613	576	604	482	-
PIER	-	588	436	545	380	-
PIG	233	614	509	635	-	-
PIGEON	325	609	499	610	411	-
PILLOW	217	613	602	624	471	-
PIN	261	600	524	576	425	-
PINE	-	592	557	617	487	-
PINEAPPLE	-	653	489	569	435	-
PIPE	-	602	535	598	465	620
PISTOL	-	-	-	-	-	-
PLATE	-	595	556	527	460	-
PLATYPUS	-	-	-	-	-	-
PLIERS	-	645	499	588	408	-
PLUG	242	558	575	583	-	-
PLUM	-	632	547	611	470	-
PONY	-	611	524	642	439	-
PORCUPINE	-	-	-	-	-	-
POT	217	584	577	598	538	-
POTATO	233	629	612	617	484	713
PROJECTOR	-	548	477	584	318	-
PRUNE	347	611	444	578	-	-
PUMPKIN	-	-	-	-	-	-
PYRAMID	397	615	386	613	-	-
PYTHON	-	580	308	559	364	588
RABBIT	206	635	523	611	433	-
RACCOON	-	-	-	-	-	-
RACQUET	-	513	480	522	397	-
RADIO	317	615	644	613	-	-
RADISH	-	-	456	-	-	-
RAFT	-	-	483	-	-	-
RAISIN	-	-	-	-	-	-
RAKE	336	597	476	550	380	-
RASPBERRY	-	594	513	636	400	-
RAT	-	624	548	588	468	-
RATTLE	261	549	448	554	-	680
RATTLESNAKE	-	586	493	611	377	-
RAVEN	-	-	-	-	-	-
RAZOR	-	-	511	-	-	-
REVOLVER	-	592	486	629	-	740
RHUBARB	-	-	-	-	-	-
RICE	-	608	548	506	458	-
RIFLE	322	606	477	581	453	-
RING	208	593	589	601	516	-
ROBE	-	-	-	-	-	-
ROBIN	233	637	487	615	431	-
ROCK	-	600	583	612	482	596
ROCKER	-	583	474	520	388	-
ROCKET	-	645	525	612	478	-
ROOSTER	-	-	385	-	-	-
ROPE	281	608	539	596	441	-
RULER	311	555	571	543	-	-
SACK	-	582	539	548	447	-
SADDLE	344	603	436	578	-	-
SALAMANDER	-	-	-	-	-	-
SALMON	-	-	-	-	-	-
SANDALS	-	-	-	-	-	-
SANDPAPER	-	-	-	-	-	-
SARDINE	353	606	446	592	403	-
SAUCER	-	606	533	544	425	-
SAXOPHONE	519	624	453	602	424	-
SCARF	-	-	-	-	-	-
SCISSORS	-	596	559	609	405	-
SCOOTER	-	565	468	569	374	-
SCREWDRIVER	-	574	544	617	441	-
SCREWS	-	-	-	-	-	-
SEAGULL	-	-	-	-	-	-
SEAL	328	587	482	563	398	-
SEAWEED	-	593	478	590	384	-
SHACK	-	-	-	-	-	-
SHAWL	331	606	455	576	432	-
SHED	231	611	524	602	-	-
SHEEP	-	622	507	596	444	-
SHELL	-	597	524	581	415	-
SHELVES	-	-	-	-	-	-
SHIELD	350	576	464	556	-	-
SHIP	249	615	553	612	492	787
SHIRT	269	616	612	612	547	-
SHOES	-	-	-	-	-	-
SHOVEL	-	581	528	538	418	-
SHRIMP	-	629	546	618	474	-
SINK	219	590	586	599	418	-
SKATEBOARD	-	-	-	-	-	-
SKILLET	-	579	432	586	450	743
SKIRT	258	614	551	573	445	-
SKIS	-	-	-	-	-	-
SKUNK	-	648	519	652	446	-
SKYSCRAPER	-	618	489	577	490	-
SLED	-	-	477	-	-	-
SLEIGH	-	613	531	608	455	-
SLIPPERS	-	-	-	-	-	-
SNAIL	-	579	489	577	346	-
SOCKS	-	-	-	-	-	-
SOFA	-	629	564	597	495	-
SPADE	-	565	513	578	436	-
SPARROW	-	629	523	583	470	-
SPATULA	-	586	407	517	333	-
SPEAR	-	584	513	545	403	-
SPIDER	-	607	526	597	392	-
SPINACH	-	589	452	606	384	708
SPOON	186	614	612	584	425	-
SQUID	-	-	-	-	-	-
SQUIRREL	-	612	511	642	397	-
STARLING	-	-	-	-	-	-
STEREO	-	-	-	-	-	-
STICK	-	604	528	517	503	-
STONE	-	614	564	585	502	724
STOOL	203	592	531	584	374	-
STORK	356	614	393	570	-	-
STOVE	297	591	525	592	487	-
STRAINER	-	-	-	-	-	-
STRAWBERRY	-	610	539	631	465	671
SUBMARINE	381	583	450	588	403	-
SUBWAY	-	-	-	-	-	-
SWAN	-	-	-	-	-	-
SWEATER	-	-	-	-	-	-
SWORD	342	577	444	597	387	-
TABLE	-	604	599	582	423	760
TACK	363	565	463	546	358	-
TANGERINE	-	645	495	625	445	-
TANK	-	581	511	563	402	648
TAP	222	538	567	541	410	-
TAPE	406	564	567	573	426	-
TAXI	-	-	-	-	-	-
TELEPHONE	-	619	605	655	467	-
TENT	283	608	521	593	452	-
THERMOMETER	389	612	481	581	443	-
THIMBLE	-	529	397	570	360	-
TIE	-	568	559	551	432	-
TIGER	-	611	513	606	433	-
TOAD	-	568	516	591	415	-
TOASTER	-	579	520	580	365	-
TOILET	-	586	567	603	430	-
TOMAHAWK	-	586	366	619	-	644
TOMATO	-	662	574	610	489	-
TONGS	-	-	-	-	-	-
TORTOISE	-	602	415	539	403	-
TOY	164	567	550	569	505	696
TRACTOR	-	590	518	585	418	-
TRAILER	-	597	528	587	363	-
TRAIN	-	592	548	593	468	-
TRAY	-	590	558	550	450	-
TRICYCLE	-	-	436	-	-	-
TRIPOD	-	577	363	574	338	576
TROLLEY	-	579	449	585	368	-
TROMBONE	-	606	481	579	417	-
TROUSERS	-	-	-	-	-	-
TROUT	394	617	479	617	430	-
TRUCK	-	595	620	621	-	648
TRUMPET	-	608	490	628	468	680
TUBA	-	-	-	-	-	-
TUNA	-	-	-	-	-	-
TURKEY	-	-	-	-	-	-
TURNIP	-	-	-	-	-	-
TURTLE	-	644	509	564	431	-
TYPEWRITER	389	611	524	615	415	-
UMBRELLA	306	606	511	592	400	676
UNICYCLE	-	-	-	-	-	-
URN	442	551	369	510	350	-
VAN	267	606	542	572	-	-
VEIL	414	560	421	516	379	-
VEST	-	575	472	581	378	596
VINE	425	601	411	564	-	-
VIOLIN	-	626	468	606	479	-
VULTURE	-	-	-	-	-	-
WAGON	-	-	443	-	-	-
WALL	-	589	596	576	439	-
WALNUT	-	642	538	590	468	-
WALRUS	-	629	506	590	420	-
WAND	272	570	381	513	-	-
WASP	-	-	-	-	-	-
WHALE	-	610	500	623	474	724
WHEEL	-	573	566	576	483	-
WHEELBARROW	-	-	-	-	-	-
WHIP	397	570	476	579	454	-
WHISTLE	-	579	505	574	420	-
WILLOW	386	589	425	565	395	-
WOODPECKER	-	-	-	-	-	-
WORM	253	611	498	578	-	-
WRENCH	-	-	-	-	-	-
YACHT	363	606	464	624	464	720
YAM	-	-	-	-	-	-
ZEBRA	-	-	333	-	-	-
ZUCCHINI	-	-	-	-	-	-
