subject,Story,interesting,wellwritten,of high literary quality,easy to understand,accessible,thrilling,beautiful,fascinating,emotional,sad,Stim,interesting,wellwritten,of high literary quality,easy to understand,accessible,thrilling,beautiful,fascinating,emotional,sad,Story,Sometimes I had the feeling that I could see through the eyes of the main character.,While reading I saw situations that were described to me as if I was there myself.,Sometimes I had the feeling that I was in the environment in which the story took place.,Sometimes I saw the environment in which the story takes place in front of me.,"While reading, I saw situations that were described to me as if I were a silent spectator. ",While reading this story I saw a picture of the main character in front of me.,I felt like the main character felt.,I could empathize with the characters.,I sympathized with the main character.,I shared the protagonist's emotions.,I felt sorry for the protagonist.,"As I read, I could imagine what it would feel like to be in the protagonist's shoes.",I knew exactly which emotions the characters experienced.,I could imagine how the main character felt.,I understood how the main character felt.,Story,Sometimes I had the feeling that I could see through the eyes of the main character.,While reading I saw situations that were described to me as if I was there myself.,Sometimes I had the feeling that I was in the environment in which the story took place.,Sometimes I saw the environment in which the story takes place in front of me.,"While reading, I saw situations that were described to me as if I were a silent spectator. ",While reading this story I saw a picture of the main character in front of me.,I felt like the main character felt.,I could empathize with the characters.,I sympathized with the main character.,I shared the protagonist's emotions.,I felt sorry for the protagonist.,"As I read, I could imagine what it would feel like to be in the protagonist's shoes.",I knew exactly which emotions the characters experienced.,I could imagine how the main character felt.,I understood how the main character felt.,,How much do you like fiction (1-7),How many novels did you read last year? 
14,A,3,2,2,3,3,2,3,2,3,3,B,2,3,2,2,3,2,2,3,2,4,A,3,2,2,2,1,1,3,3,3,3,2,2,3,2,2,B,2,1,2,2,1,3,3,2,2,3,1,2,2,2,2,,4,3
15,A,1,1,1,4,4,1,1,1,1,4,B,1,1,1,1,1,1,1,1,1,4,A,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,B,1,1,4,1,1,1,4,4,4,4,1,4,4,4,4,,5,3
16,A,4,4,4,1,1,4,4,4,4,1,B,4,1,1,1,4,1,1,4,1,4,A,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,7,7
17,A,2,3,2,2,3,3,3,2,3,3,B,3,3,2,1,2,3,4,4,2,4,A,3,2,2,2,3,4,2,2,2,3,2,2,3,3,2,B,3,3,4,2,3,4,4,4,3,3,2,4,4,3,3,,3,5
19,A,1,2,3,3,2,1,2,3,2,2,B,3,2,3,1,2,3,4,3,3,2,A,3,2,3,3,3,2,2,3,2,2,3,3,4,2,3,B,3,2,2,2,1,1,4,4,4,4,1,4,4,4,4,,6,3
20,A,4,4,4,1,1,4,4,4,4,1,B,1,1,4,4,1,1,4,1,4,4,A,1,1,1,1,1,4,4,1,1,1,1,1,4,1,4,B,1,1,1,1,1,1,4,1,1,4,4,1,1,1,1,,5,6
21,A,2,1,2,2,2,3,2,2,3,3,B,1,1,2,1,3,1,2,1,2,4,A,2,3,3,1,1,2,3,2,2,2,3,1,1,1,2,B,2,1,1,1,2,1,2,2,1,2,2,1,2,2,2,,6,3
22,A,2,2,3,1,1,2,3,2,2,4,B,2,3,2,1,1,2,3,2,1,3,A,3,1,2,1,2,3,3,2,3,3,4,3,4,3,4,B,2,2,1,1,2,3,3,3,3,3,4,3,4,2,3,,6,5
23,A,2,1,1,2,2,3,2,2,3,2,B,1,1,1,2,3,1,2,1,2,4,A,1,2,2,2,3,3,2,2,2,2,3,2,3,2,1,B,1,2,2,2,3,2,2,2,1,2,2,1,2,2,2,,6,10
24,A,2,2,3,2,2,2,2,2,2,3,B,1,2,2,1,1,2,2,2,2,2,A,2,2,2,2,2,1,2,1,1,2,3,2,3,2,2,B,1,2,2,2,3,2,2,2,2,2,3,3,3,2,2,,6,2
25,A,1,1,4,1,1,4,4,1,4,4,B,4,1,4,1,1,1,4,4,1,4,A,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,B,1,1,1,1,1,1,4,4,1,4,1,4,4,1,4,,6,3
26,A,3,2,2,2,3,3,3,3,3,3,B,2,2,2,2,3,2,2,2,1,3,A,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,B,3,2,3,2,2,2,4,2,2,3,1,2,3,2,2,,6,8
27,A,2,1,1,3,3,1,2,2,4,3,B,3,2,2,1,3,4,3,3,3,2,A,2,2,2,2,2,3,1,1,2,2,2,2,3,2,2,B,3,2,2,2,3,2,4,4,4,3,4,3,3,3,2,,5,3
28,A,4,1,4,4,4,4,1,4,4,1,B,1,1,4,1,1,4,1,1,1,4,A,1,1,4,1,1,4,4,4,1,4,1,1,4,1,1,B,4,1,1,1,1,1,4,4,1,4,1,1,4,1,1,,6,10
29,A,2,2,2,3,2,4,3,3,3,3,B,1,2,2,2,1,2,3,1,1,4,A,4,1,2,2,1,3,3,2,2,3,3,2,3,2,1,B,1,1,1,1,2,2,2,1,2,2,1,1,1,2,2,,5,5
30,A,3,3,3,2,2,3,3,3,3,3,B,3,2,2,2,2,3,2,2,3,2,A,2,2,1,2,2,1,2,2,3,3,4,3,3,3,3,B,1,2,2,1,1,2,2,1,1,2,1,2,2,2,1,,,5
31,A,1,1,1,1,1,1,4,1,1,4,B,1,1,1,1,1,1,1,1,4,1,A,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,B,1,1,1,1,1,1,4,1,1,4,1,4,1,1,4,,,3
32,A,2,2,3,3,3,3,3,2,3,3,B,1,1,1,1,4,4,4,1,1,1,A,3,2,2,2,1,2,3,4,3,3,2,3,3,2,2,B,2,3,4,2,3,3,3,2,2,3,2,3,3,2,2,,,6
33,A,2,2,3,1,1,3,3,2,3,2,B,2,2,3,2,2,3,3,2,3,2,A,2,1,2,3,2,4,4,2,2,3,3,2,3,2,2,B,3,3,3,2,2,2,4,3,2,3,2,3,3,2,2,,,3
34,A,2,2,2,3,3,3,3,1,2,2,B,2,2,3,2,2,2,3,2,3,3,A,2,3,3,3,2,2,3,2,3,2,3,3,3,2,2,B,2,2,2,1,3,2,3,3,2,2,3,3,3,2,2,,,6
35,A,2,3,2,2,3,1,1,2,4,3,B,2,1,3,1,1,2,2,2,3,3,A,1,1,2,2,1,3,3,2,2,2,3,1,3,1,2,B,2,1,1,1,2,3,1,1,2,3,2,1,2,1,1,,,12
37,A,2,3,3,1,1,2,3,2,2,3,B,2,2,2,3,3,2,3,2,4,2,A,2,2,3,2,2,3,4,3,3,2,3,3,3,2,3,B,2,3,2,2,2,3,4,3,3,3,3,2,3,2,4,,,2
38,A,3,2,2,3,3,2,3,3,3,1,B,1,1,4,1,4,2,2,2,1,4,A,4,2,3,2,2,4,3,3,3,4,3,3,3,3,3,B,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,,,10
39,A,2,2,3,2,2,2,3,1,3,3,B,4,3,3,1,2,2,3,4,3,3,A,2,1,1,2,2,3,2,2,1,2,3,2,2,2,1,B,4,3,3,3,2,3,4,3,3,3,4,4,4,3,3,,,2
40,A,2,2,1,2,2,2,3,3,4,3,B,1,1,1,1,2,1,3,1,3,3,A,2,1,1,2,1,3,4,2,2,3,1,2,3,2,3,B,3,2,2,1,1,1,2,3,2,4,1,3,3,4,3,,,
41,A,,,,,,,,,,,B,3,2,2,4,3,2,3,3,4,2,A,1,2,1,1,2,2,1,1,1,2,1,1,2,2,2,B,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,,,
42,A,1,1,2,3,3,1,2,1,2,4,B,2,1,3,1,1,2,1,2,3,4,A,2,2,2,1,2,4,3,3,3,3,3,2,3,2,3,B,2,2,1,1,2,3,1,2,2,2,3,2,4,2,2,,,
43,A,2,2,3,1,2,2,3,2,3,4,B,2,2,2,1,2,1,2,2,2,4,A,2,2,3,2,2,4,3,2,2,3,3,3,3,2,2,B,1,2,3,2,1,2,2,1,2,3,2,2,3,2,2,,,
44,A,2,3,3,2,2,2,3,2,4,3,B,3,2,2,3,3,2,2,2,2,4,A,2,2,2,2,3,1,3,2,3,3,2,2,3,2,2,B,2,1,3,2,3,2,4,2,3,3,2,2,3,2,3,,,
46,A,1,2,2,2,2,2,3,2,3,4,B,1,2,3,2,3,2,2,2,3,3,A,3,2,2,2,2,3,3,2,2,3,2,3,3,2,3,B,2,1,3,1,2,2,4,2,2,3,2,2,3,2,2,,,
47,A,3,3,2,4,3,2,3,2,3,2,B,1,2,2,2,2,1,3,1,3,4,A,2,2,3,3,2,1,4,4,4,3,4,4,3,4,3,B,1,1,2,1,1,1,3,2,2,4,2,2,3,3,3,,,
48,A,3,3,2,3,3,3,3,3,3,3,B,1,2,2,3,3,2,2,2,3,3,A,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,B,3,2,2,2,2,2,3,3,2,3,2,3,2,2,3,,,
49,A,2,2,1,2,1,2,3,2,3,3,B,1,2,2,1,2,1,3,1,2,4,A,3,2,2,2,2,4,4,3,3,3,3,3,4,3,3,B,2,1,1,1,2,2,2,2,1,2,1,2,3,2,2,,,
50,A,2,2,2,3,3,3,3,3,4,2,B,1,1,2,2,3,1,2,1,3,4,A,2,1,2,2,1,4,2,2,2,2,3,2,3,2,2,B,2,1,1,1,2,2,2,2,3,3,3,4,2,3,2,,,
51,A,1,2,1,3,3,2,3,3,2,3,B,1,1,3,1,1,1,3,3,1,4,A,1,2,1,2,3,3,1,2,1,2,2,2,3,2,2,B,3,2,2,1,1,1,3,2,2,1,1,2,3,2,1,,,
53,A,2,1,3,2,2,2,2,1,2,4,B,1,1,2,2,2,1,2,2,2,4,A,2,1,2,2,2,4,2,2,2,1,2,2,2,2,2,B,2,1,1,2,1,1,2,2,2,2,1,2,2,2,2,,,
55,A,2,2,2,2,2,1,2,2,1,4,B,2,2,1,3,3,2,2,1,1,4,A,1,2,2,1,3,1,2,1,1,1,1,2,2,1,2,B,2,2,3,1,2,3,3,1,1,2,2,1,2,1,2,,,
56,A,1,1,2,3,3,1,1,1,1,3,B,1,1,2,2,2,1,1,1,3,3,A,1,1,1,1,1,1,3,2,1,2,1,1,2,2,2,B,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,,,
57,A,3,4,4,2,2,1,1,1,2,3,B,1,2,1,3,2,1,1,1,3,4,A,3,2,1,2,3,1,1,2,3,2,2,2,2,3,3,B,2,3,2,3,3,3,1,2,2,1,3,3,2,3,3,,,
58,A,1,2,1,2,3,2,3,1,3,4,B,2,2,2,1,1,3,3,2,2,3,A,2,2,1,2,3,1,3,2,3,2,1,2,1,2,2,B,2,1,2,1,2,3,2,2,3,2,3,1,2,2,1,,,
59,A,3,2,2,3,3,4,3,3,4,2,B,2,2,2,2,2,2,2,2,3,3,A,2,2,2,1,2,3,4,2,3,4,4,4,4,4,3,B,1,2,2,1,2,2,3,2,3,3,3,3,3,3,3,,,
60,A,1,3,2,1,1,2,3,2,2,3,B,4,2,2,4,4,4,3,4,3,1,A,1,2,2,2,1,4,1,1,2,2,2,3,2,2,2,B,4,4,3,4,4,4,4,4,3,3,4,2,3,4,3,,,
